genre,optimal_threshold,balanced_threshold,adjustment_factor
Action,0.89,0.40792614,0.45834398
Adventure,0.925,0.34944785,0.37778145
Animation,0.98,0.35413662,0.3613639
Children,0.983,0.38578996,0.3924618
Comedy,0.812,0.45210925,0.5567848
Crime,0.909,0.40497866,0.4455211
Documentary,0.964,0.37294802,0.38687554
Drama,0.848,0.5153585,0.6077341
Fantasy,0.782,0.40245715,0.51465106
Film-Noir,0.607,0.607,1.0
Horror,0.966,0.37587026,0.38909963
IMAX,0.439,0.439,1.0
Musical,0.953,0.37270534,0.3910864
Mystery,0.954,0.4030017,0.42243364
Romance,0.918,0.4212625,0.45889163
Sci-Fi,0.948,0.36737987,0.38753152
Thriller,0.61,0.61,1.0
War,0.28,0.28,1.0
Western,0.979,0.21092835,0.21545286
