genre,precision,recall,f1,accuracy,specificity,support,tp,fp,fn,threshold
Thriller,0.2371,0.494,0.3204,0.6806,0.7141,1749,864,2780,885,0.61
Fantasy,0.1933,0.0517,0.0816,0.9431,0.9889,561,29,121,532,0.782
War,0.0378,0.9496,0.0727,0.1612,0.133,397,377,9603,20,0.28
Film-Noir,0.0361,0.8533,0.0692,0.85,0.85,75,64,1710,11,0.607
Western,0.7143,0.0177,0.0346,0.9757,0.9998,282,5,2,277,0.979
Comedy,0.4248,0.0142,0.0275,0.7037,0.992,3382,48,65,3334,0.812
Children,0.8333,0.0088,0.0175,0.951,0.9999,566,5,1,561,0.983
Sci-Fi,1.0,0.0086,0.017,0.9397,1.0,698,6,0,692,0.948
IMAX,0.0082,0.6905,0.0162,0.6935,0.6936,42,29,3503,13,0.439
Drama,0.5254,0.0061,0.012,0.5543,0.9956,5116,31,28,5085,0.848
Musical,0.5,0.0048,0.0095,0.9818,0.9999,209,1,1,208,0.953
Mystery,0.6667,0.0034,0.0068,0.9494,0.9999,581,2,1,579,0.954
Animation,0.6667,0.0033,0.0065,0.9468,0.9999,611,2,1,609,0.98
Horror,0.75,0.0026,0.0051,0.8989,0.9999,1162,3,1,1159,0.966
Adventure,1.0,0.0025,0.0049,0.9297,1.0,808,2,0,806,0.925
Action,0.6,0.002,0.004,0.8707,0.9998,1485,3,2,1482,0.89
Romance,0.6,0.002,0.004,0.8709,0.9998,1482,3,2,1479,0.918
Crime,0.5,0.0018,0.0036,0.9042,0.9998,1099,2,2,1097,0.909
Documentary,0.5,0.0009,0.0017,0.8999,0.9999,1148,1,1,1147,0.964
